Exemplar_Size,Method,Task 2,Task 3
All Exemplars,FeTrIL,0.5932743589397809,0.37379262318057105
All Exemplars,DDGR,0.27228720529165223,0.273451432236688
All Exemplars,VAE_Adapt,0.4592355987388431,0.3637436080309435
All Exemplars,VAE_BBox,0.5912603070919017,0.48267337130829946
All Exemplars,VAE_Filter,0.5896002795150801,0.4840470661861701
All Exemplars,VAE_GMM,0.6009061942024823,0.6004328976818587
