Exemplar_Size,Method,Task 1,Task 2,Task 3,Task 4,Task 5
All Exemplars,FeTrIL,0.9604644352902614,0.683783624372552,0.43721061336967,0.1997654342659097,0.11379134860050885
All Exemplars,DDGR,0.9580303254028796,0.655315925103111,0.4637586040747813,0.37173784428399753,0.30878710771840534
All Exemplars,VAE_Adapt,0.958559791542994,0.8685025004122809,0.6464799937213566,0.4925011574962029,0.3943681085665818
All Exemplars,VAE_BBox,0.9580586950716007,0.889215702428725,0.7084043513068926,0.5596729351520443,0.4490245971162002
All Exemplars,VAE_Filter,0.9568478329079204,0.8956335646962851,0.6949269496969409,0.5499995278405996,0.4471416454622561
All Exemplars,VAE_GMM,0.9571048979720325,0.9202908206116137,0.793336226836699,0.6529147805000595,0.5447837150127227
