FeTrIL,DDGR,VAE - Filter,VAE - GMM
0.4333333333333334,0.4133333333333333,0.519047619047619,0.5352380952380952
0.4009523809523809,0.4895238095238096,0.6285714285714284,0.6095238095238096
0.2161904761904762,0.4399999999999999,0.7799999999999999,0.819047619047619
0.3323809523809523,0.2809523809523809,0.641904761904762,0.7238095238095239
0.3828571428571428,0.2704761904761904,0.7219047619047619,0.7647619047619049
0.5457142857142857,0.4009523809523808,0.5114285714285713,0.4666666666666666
0.4057142857142856,0.2809523809523809,0.680952380952381,0.7228571428571428
0.3457142857142857,0.4409523809523809,0.7742857142857142,0.7314285714285715
0.318095238095238,0.5247619047619047,0.6228571428571429,0.7571428571428571
0.3828571428571428,0.4904761904761904,0.5533333333333333,0.5257142857142856
0.4371428571428571,0.399047619047619,0.459047619047619,0.5161904761904761
0.4266666666666666,0.2914285714285713,0.7028571428571428,0.7447619047619047
0.4095238095238095,0.5657142857142856,0.7457142857142858,0.7619047619047619
0.3085714285714285,0.2333333333333333,0.4714285714285713,0.6285714285714284
0.3447619047619047,0.5199999999999999,0.5285714285714286,0.5847619047619047
0.3961904761904762,0.38,0.7457142857142857,0.7857142857142858
0.3742857142857143,0.4161904761904762,0.3552380952380952,0.6142857142857143
0.4428571428571428,0.3961904761904761,0.6914285714285715,0.7361904761904762
0.38,0.4295238095238095,0.64,0.7428571428571429
0.3619047619047618,0.3561904761904761,0.6209523809523809,0.759047619047619
0.3057142857142857,0.5219047619047619,0.5952380952380951,0.7142857142857142
0.4,0.3466666666666666,0.3095238095238095,0.5666666666666667
0.4161904761904761,0.5114285714285713,0.5714285714285714,0.5866666666666667
0.4057142857142857,0.4295238095238095,0.7361904761904763,0.7514285714285716
0.3504761904761905,0.4304761904761904,0.6314285714285715,0.681904761904762
0.459047619047619,0.4876190476190477,0.5038095238095238,0.4485714285714285
0.3638095238095238,0.5133333333333333,0.5219047619047619,0.5838095238095239
0.3799999999999999,0.3866666666666666,0.539047619047619,0.6342857142857142
0.3523809523809523,0.4514285714285714,0.8038095238095238,0.7257142857142858
0.4733333333333333,0.4980952380952381,0.7542857142857142,0.8380952380952381
0.4333333333333334,0.4133333333333333,0.519047619047619,0.5352380952380952
0.4009523809523809,0.4895238095238096,0.6285714285714284,0.6095238095238096
0.2161904761904762,0.4399999999999999,0.7799999999999999,0.819047619047619
0.3323809523809523,0.2809523809523809,0.641904761904762,0.7238095238095239
0.3828571428571428,0.2704761904761904,0.7219047619047619,0.7647619047619049
0.5457142857142857,0.4009523809523808,0.5114285714285713,0.4666666666666666
0.4057142857142856,0.2809523809523809,0.680952380952381,0.7228571428571428
0.3457142857142857,0.4409523809523809,0.7742857142857142,0.7314285714285715
0.318095238095238,0.5247619047619047,0.6228571428571429,0.7571428571428571
0.3828571428571428,0.4904761904761904,0.5533333333333333,0.5257142857142856
0.4371428571428571,0.399047619047619,0.459047619047619,0.5161904761904761
0.4266666666666666,0.2914285714285713,0.7028571428571428,0.7447619047619047
0.4095238095238095,0.5657142857142856,0.7457142857142858,0.7619047619047619
0.3085714285714285,0.2333333333333333,0.4714285714285713,0.6285714285714284
0.3447619047619047,0.5199999999999999,0.5285714285714286,0.5847619047619047
0.3961904761904762,0.38,0.7457142857142857,0.7857142857142858
0.3742857142857143,0.4161904761904762,0.3552380952380952,0.6142857142857143
0.4428571428571428,0.3961904761904761,0.6914285714285715,0.7361904761904762
0.38,0.4295238095238095,0.64,0.7428571428571429
0.3619047619047618,0.3561904761904761,0.6209523809523809,0.759047619047619
0.3057142857142857,0.5219047619047619,0.5952380952380951,0.7142857142857142
0.4,0.3466666666666666,0.3095238095238095,0.5666666666666667
0.4161904761904761,0.5114285714285713,0.5714285714285714,0.5866666666666667
0.4057142857142857,0.4295238095238095,0.7361904761904763,0.7514285714285716
0.3504761904761905,0.4304761904761904,0.6314285714285715,0.681904761904762
0.459047619047619,0.4876190476190477,0.5038095238095238,0.4485714285714285
0.3638095238095238,0.5133333333333333,0.5219047619047619,0.5838095238095239
0.3799999999999999,0.3866666666666666,0.539047619047619,0.6342857142857142
0.3523809523809523,0.4514285714285714,0.8038095238095238,0.7257142857142858
0.4733333333333333,0.4980952380952381,0.7542857142857142,0.8380952380952381
