dataset,scenario,person,method,vae_sampling,filter,iteration,exemplar_size,each_exemplar_time,whole_exemplar_time,each_task_time,whole_task_time
realworld,2111,2, ce_fetril,none, none,0,100,2.134754935105642,10.67377467552821,0.5505611417690914,2.7528057088454565
realworld,2111,2, ce_fetril,none, none,0,299,2.128204891470572,10.641024457352858,0.5488478402420879,2.74423920121044
realworld,2111,2, ce_fetril,none, none,0,894,2.123108602729108,10.615543013645542,0.5483397793769836,2.7416988968849183
realworld,2111,2, ce_fetril,none, none,0,2674,2.117592744448532,10.587963722242664,0.5488483112677933,2.7442415563389657
realworld,2111,2, ce_fetril,none, none,0,215,2.1162771185884863,10.581385592942436,0.5494107660700878,2.747053830350439
realworld,2111,2, ce_ddgr,none, none,0,100,127.8825617491702,639.4128087458511,158.32931660021345,791.6465830010673
realworld,2111,2, ce_ddgr,none, none,0,299,126.58059071553252,632.9029535776625,157.27820544945698,786.3910272472848
realworld,2111,2, ce_ddgr,none, none,0,894,122.06348591193556,610.3174295596779,152.646341369268,763.2317068463399
realworld,2111,2, ce_ddgr,none, none,0,2674,123.0075529440182,615.037764720091,153.6716817689315,768.3584088446572
realworld,2111,2, ce_ddgr,none, none,0,215,102.31566794544148,511.5783397272074,131.97937117658245,659.8968558829123
realworld,2111,2, ce_vae,boundary_box, none,0,100,14.42044036204616,72.10220181023081,15.98051497464379,79.90257487321894
realworld,2111,2, ce_vae,boundary_box, none,0,299,14.567030583856011,72.83515291928003,16.103893175174793,80.51946587587396
realworld,2111,2, ce_vae,boundary_box, none,0,894,14.6454836490088,73.22741824504402,16.35192367238303,81.75961836191514
realworld,2111,2, ce_vae,boundary_box, none,0,2674,14.799426392652087,73.99713196326047,16.618303949528688,83.09151974764342
realworld,2111,2, ce_vae,boundary_box, none,0,215,14.5975558224072,72.98777911203602,16.216292970751724,81.08146485375862
realworld,2111,2, ce_vae,boundary_box, probability,0,100,12.987859990100064,64.93929995050033,12.46804065518081,62.34020327590406
realworld,2111,2, ce_vae,boundary_box, probability,0,299,13.144496684794628,65.72248342397312,12.646435381211338,63.2321769060567
realworld,2111,2, ce_vae,boundary_box, probability,0,894,13.307805046687523,66.53902523343761,12.786931701542605,63.93465850771301
realworld,2111,2, ce_vae,boundary_box, probability,0,2674,13.41798737289384,67.0899368644692,12.97757927751789,64.88789638758948
realworld,2111,2, ce_vae,boundary_box, probability,0,215,13.461916899691028,67.30958449845512,13.105013521254058,65.52506760627031
realworld,2111,2, ce_vae,gmm, none,0,100,14.672919393603994,73.36459696802,12.869990881135063,64.34995440567533
realworld,2111,2, ce_vae,gmm, none,0,299,14.5141017260775,72.57050863038748,12.688723658385372,63.44361829192688
realworld,2111,2, ce_vae,gmm, none,0,894,14.631044259717072,73.15522129858533,12.81284878229929,64.06424391149646
realworld,2111,2, ce_vae,gmm, none,0,2674,14.614537726876636,73.07268863438318,12.805850402253371,64.02925201126685
realworld,2111,2, ce_vae,gmm, none,0,215,14.622237834711868,73.11118917355935,12.812938371201357,64.06469185600677
