FeTrIL,DDGR,VAE_Adapt,VAE - Filter,VAE - GMM
0.1183999999999999,0.96,0.9632,0.9616,0.968
0.3838383838383838,0.9353535353535352,0.9373737373737374,0.9474747474747476,0.9454545454545455
0.1123076923076923,0.8138461538461538,0.8276923076923077,0.82,0.796923076923077
0.2144,0.96,0.9664,0.9616,0.968
0.2932038834951456,0.9708737864077672,0.966990291262136,0.9650485436893206,0.9650485436893204
0.0625,0.934375,0.94375,0.959375,0.9515625
0.0414285714285714,0.9785714285714284,0.9785714285714284,0.9771428571428572,0.9771428571428572
0.1453125,0.934375,0.9640625,0.95625,0.971875
0.1569230769230769,0.976923076923077,0.9753846153846156,0.976923076923077,0.9846153846153848
0.1269565217391304,0.9704347826086956,0.9808695652173912,0.9808695652173912,0.9773913043478262
0.1840707964601769,0.9734513274336284,0.976991150442478,0.9716814159292037,0.9716814159292037
0.1812949640287769,0.9611510791366908,0.9597122302158274,0.9597122302158274,0.962589928057554
0.2905982905982905,0.9264957264957264,0.9435897435897436,0.947008547008547,0.9487179487179488
0.0016129032258064,0.8419354838709678,0.8467741935483872,0.8467741935483872,0.8290322580645162
0.2079207920792078,0.9722772277227724,0.9742574257425743,0.9762376237623764,0.9702970297029704
0.1157894736842105,0.9526315789473684,0.9385964912280702,0.9456140350877194,0.956140350877193
0.1409090909090909,0.9303030303030304,0.9348484848484848,0.9393939393939394,0.9363636363636364
0.2083333333333333,0.9616666666666668,0.9666666666666666,0.9483333333333336,0.965
0.1984126984126984,0.9523809523809524,0.9428571428571428,0.953968253968254,0.9507936507936507
0.1836363636363636,0.9454545454545455,0.94,0.9472727272727272,0.9509090909090908
0.2557142857142856,0.9785714285714284,0.9785714285714284,0.9785714285714284,0.9771428571428572
0.2703125,0.8125,0.8140625,0.8125,0.8265625
0.1263157894736842,0.9473684210526316,0.9438596491228072,0.9508771929824562,0.9508771929824562
0.1716535433070866,0.925984251968504,0.9637795275590552,0.930708661417323,0.946456692913386
0.121311475409836,0.9573770491803276,0.9540983606557376,0.9540983606557376,0.9573770491803276
0.1603960396039604,0.9782178217821784,0.9821782178217824,0.9782178217821784,0.9782178217821784
0.1339130434782608,0.9721739130434782,0.9704347826086956,0.9826086956521738,0.9739130434782608
0.0975999999999999,0.96,0.9584,0.96,0.9632
0.1399999999999999,0.98,0.985,0.9916666666666668,0.98
0.0603174603174603,0.9825396825396826,0.9873015873015872,0.980952380952381,0.9873015873015872
