Exemplar_Size,Method,Task 2,Task 3,Task 4
All Exemplars,FeTrIL,0.39951128342450415,0.21200070071756005,0.8691237373737374
All Exemplars,DDGR,0.8891916333559826,0.8988114842085404,0.9843233517308875
All Exemplars,VAE_Adapt,0.8997982309646535,0.9063381320698654,0.9913291102048908
All Exemplars,VAE_BBox,0.8968473977257065,0.9092627835469677,0.9906513204060254
All Exemplars,VAE_Filter,0.8978674705724574,0.9081096723101639,0.9920473535572996
All Exemplars,VAE_GMM,0.9045840146705637,0.9107602335740305,0.9947752988660661
