FeTrIL,DDGR,VAE - BBox,TaskVAE,DAR
0.9971223021582734,0.9942446043165468,0.9985611510791368,0.9971223021582734,0.9913669064748202
1.0,1.0,0.9961538461538462,1.0,1.0
0.968181818181818,0.9848484848484848,0.987878787878788,0.986363636363636,0.9818181818181816
0.97875,0.98375,0.985,0.98875,0.98
0.992258064516129,0.9870967741935484,0.9832258064516128,0.9870967741935484,0.9832258064516128
0.9954887218045112,0.993984962406015,0.9969924812030077,0.9909774436090226,0.9969924812030077
0.9909677419354838,0.981935483870968,0.9883870967741936,0.9858064516129031,0.9845161290322582
0.9955223880597014,1.0,1.0,0.9985074626865672,0.9985074626865672
0.9963963963963964,0.972972972972973,0.981981981981982,0.9891891891891892,0.9855855855855856
1.0,0.99568345323741,0.9928057553956836,0.9942446043165468,0.9942446043165468
1.0,0.9985074626865672,0.9985074626865672,0.9955223880597014,0.9985074626865672
0.9923076923076924,0.9910256410256412,0.9910256410256412,0.9935897435897436,0.9884615384615384
0.998076923076923,0.998076923076923,0.998076923076923,0.998076923076923,0.998076923076923
0.98,0.9825,0.985,0.9825,0.98625
0.9969924812030077,1.0,0.9909774436090226,0.9864661654135338,0.9984962406015038
0.9971223021582734,0.9928057553956836,0.9928057553956836,0.9928057553956836,0.9913669064748202
0.9921259842519684,0.984251968503937,0.9858267716535434,0.9826771653543308,0.9937007874015746
0.984251968503937,0.9874015748031496,0.988976377952756,0.984251968503937,0.984251968503937
0.993939393939394,0.990909090909091,0.9878787878787876,0.987878787878788,0.990909090909091
0.9847328244274808,0.9832061068702288,0.9755725190839696,0.9847328244274808,0.9847328244274808
0.9878787878787876,0.9863636363636364,0.9878787878787876,0.9878787878787876,0.987878787878788
0.9910256410256412,0.9897435897435898,0.982051282051282,0.9871794871794872,0.9897435897435898
0.9945454545454544,0.9927272727272728,0.9945454545454544,0.9963636363636365,0.9890909090909092
0.9984962406015038,0.9969924812030077,0.9939849624060152,0.993984962406015,0.9939849624060152
0.993939393939394,0.9848484848484848,0.990909090909091,0.986363636363636,0.9803030303030302
0.9956521739130434,0.9956521739130434,0.9840579710144928,0.981159420289855,0.9913043478260868
0.9772727272727272,0.9818181818181816,0.9848484848484848,0.9954545454545454,0.9803030303030302
0.9984962406015038,0.9909774436090226,0.9954887218045114,0.9969924812030077,0.9909774436090226
0.988976377952756,0.9921259842519684,0.9921259842519684,0.9921259842519684,0.9858267716535434
0.998076923076923,0.9903846153846152,1.0,0.9961538461538462,1.0
