FeTrIL,DDGR,VAE - Filter,VAE - GMM
0.7277777777777779,0.2611111111111111,0.638888888888889,0.6277777777777778
0.3888888888888889,0.4111111111111111,0.45,0.7555555555555555
0.4975609756097561,0.1658536585365853,0.6878048780487805,0.829268292682927
0.64,0.3911111111111111,0.48,0.4577777777777777
0.5377777777777778,0.3377777777777777,0.3955555555555555,0.3377777777777778
0.5200000000000001,0.2,0.5250000000000001,0.7100000000000002
0.7714285714285716,0.3238095238095237,0.5571428571428572,0.4619047619047619
0.6523809523809524,0.4047619047619047,0.119047619047619,0.2619047619047618
0.4,0.4216216216216216,0.5513513513513514,0.6810810810810811
0.7166666666666667,0.1833333333333333,0.7333333333333333,0.8111111111111111
0.5621621621621622,0.1999999999999999,0.5027027027027027,0.5135135135135135
0.56,0.13,0.4599999999999999,0.4349999999999999
0.5631578947368421,0.2157894736842105,0.5368421052631578,0.5736842105263158
0.5902439024390244,0.2048780487804877,0.6829268292682927,0.6243902439024391
0.6944444444444444,0.2888888888888888,0.7277777777777779,0.8555555555555555
0.56,0.175,0.325,0.5800000000000001
0.4756756756756757,0.4972972972972974,0.3459459459459459,0.3297297297297297
0.4949999999999999,0.21,0.355,0.635
0.6487804878048781,0.273170731707317,0.224390243902439,0.2780487804878049
0.4829268292682926,0.1756097560975609,0.5951219512195123,0.702439024390244
0.5894736842105263,0.1894736842105263,0.5052631578947369,0.6526315789473685
0.5900000000000001,0.185,0.49,0.295
0.3888888888888889,0.45,0.7,0.7611111111111112
0.5900000000000001,0.325,0.295,0.24
0.7512195121951221,0.2585365853658536,0.2829268292682926,0.3853658536585366
0.6263157894736842,0.2263157894736841,0.5894736842105263,0.6894736842105263
0.32,0.2299999999999999,0.1699999999999999,0.18
0.5277777777777779,0.4333333333333333,0.7777777777777779,0.7833333333333334
0.5621621621621622,0.3351351351351351,0.5297297297297298,0.6594594594594595
0.5888888888888889,0.1444444444444444,0.6555555555555556,0.6611111111111111
