FeTrIL,DDGR,VAE - BBox,TaskVAE,DAR
0.2133333333333333,1.0,1.0,1.0,1.0
0.1538461538461538,1.0,1.0,1.0,1.0
0.2714285714285714,1.0,1.0,1.0,0.9857142857142858
0.2133333333333333,1.0,1.0,1.0,1.0
0.2307692307692307,1.0,1.0,1.0,1.0
0.1466666666666666,1.0,1.0,1.0,1.0
0.0923076923076922,1.0,1.0,1.0,1.0
0.2923076923076922,1.0,1.0,1.0,1.0
0.1733333333333333,1.0,0.9733333333333332,0.9733333333333332,1.0
0.1733333333333333,1.0,1.0,1.0,1.0
0.3333333333333333,1.0,1.0,1.0,0.9866666666666668
0.1466666666666666,1.0,1.0,1.0,1.0
0.257142857142857,1.0,1.0,1.0,1.0
0.3866666666666666,1.0,1.0,1.0,1.0
0.2533333333333333,1.0,1.0,1.0,1.0
0.2,1.0,1.0,0.9866666666666668,1.0
0.0714285714285714,1.0,1.0,1.0,0.9857142857142858
0.3714285714285714,1.0,1.0,1.0,0.9857142857142858
0.123076923076923,1.0,1.0,1.0,1.0
0.1454545454545454,1.0,1.0,1.0,1.0
0.1272727272727272,1.0,1.0,1.0,1.0
0.1599999999999999,1.0,1.0,1.0,1.0
0.1466666666666666,1.0,0.9733333333333332,0.9866666666666668,1.0
0.2799999999999999,1.0,1.0,1.0,1.0
0.3076923076923076,1.0,1.0,1.0,1.0
0.2545454545454545,1.0,1.0,1.0,1.0
0.1599999999999999,1.0,1.0,1.0,1.0
0.1066666666666666,1.0,1.0,1.0,1.0
0.1428571428571428,1.0,1.0,1.0,1.0
0.2153846153846153,1.0,1.0,1.0,1.0
