FeTrIL,DDGR,VAE_Adapt,VAE - Filter,VAE - GMM
0.3411042944785276,0.1386503067484662,0.3828220858895705,0.603680981595092,0.5460122699386503
0.2933333333333333,0.2642424242424242,0.5733333333333334,0.3175757575757575,0.7236363636363637
0.5109677419354839,0.2154838709677419,0.7212903225806453,0.910967741935484,0.8812903225806451
0.3137254901960784,0.1594771241830065,0.530718954248366,0.3882352941176471,0.7045751633986927
0.4235955056179775,0.1325842696629213,0.4674157303370787,0.497752808988764,0.6876404494382022
0.5656441717791411,0.2650306748466257,0.4294478527607362,0.7631901840490798,0.7607361963190183
0.5114285714285713,0.1942857142857142,0.2728571428571428,0.4628571428571429,0.4428571428571429
0.4283783783783784,0.1702702702702702,0.55,0.3932432432432432,0.6027027027027028
0.4095808383233533,0.2958083832335329,0.5293413173652695,0.4071856287425149,0.688622754491018
0.5402985074626866,0.1910447761194029,0.4388059701492537,0.773134328358209,0.762686567164179
0.2980132450331125,0.2993377483443708,0.3774834437086093,0.3933774834437086,0.7033112582781458
0.3779411764705882,0.2088235294117646,0.4676470588235294,0.5102941176470588,0.7426470588235295
0.5897058823529411,0.1794117647058823,0.5205882352941178,0.4852941176470589,0.6514705882352941
0.4388235294117647,0.2129411764705882,0.4682352941176469,0.5529411764705883,0.7647058823529413
0.543502824858757,0.2440677966101694,0.4553672316384181,0.5005649717514125,0.7536723163841808
0.481437125748503,0.1952095808383233,0.5784431137724552,0.665868263473054,0.7473053892215569
0.6177777777777778,0.1955555555555555,0.5688888888888888,0.6622222222222222,0.8755555555555554
0.4383561643835616,0.2273972602739725,0.5767123287671233,0.7397260273972603,0.7684931506849315
0.5519999999999999,0.2253333333333333,0.64,0.7706666666666666,0.6626666666666667
0.4535031847133758,0.1095541401273885,0.4624203821656051,0.640764331210191,0.8191082802547772
0.4992907801418439,0.2170212765957446,0.675177304964539,0.7049645390070923,0.8056737588652482
0.5453333333333334,0.1679999999999999,0.3613333333333333,0.4226666666666666,0.6559999999999999
0.4106508875739645,0.1585798816568047,0.2106508875739644,0.391715976331361,0.6177514792899409
0.4638036809815951,0.2576687116564417,0.4085889570552147,0.2957055214723926,0.4969325153374233
0.6026490066225165,0.1549668874172185,0.3999999999999999,0.6278145695364239,0.6291390728476822
0.5416666666666666,0.3285714285714285,0.6261904761904763,0.5654761904761905,0.6904761904761905
0.3920529801324502,0.0953642384105959,0.2821192052980132,0.6331125827814571,0.7470198675496689
0.4311377245508982,0.2850299401197604,0.629940119760479,0.6215568862275449,0.8071856287425149
0.3810810810810811,0.2108108108108107,0.3999999999999999,0.427027027027027,0.4675675675675675
0.4251748251748252,0.2671328671328671,0.4727272727272728,0.5048951048951048,0.8573426573426574
