FeTrIL,DDGR,VAE - BBox,TaskVAE,DAR
0.3873417721518987,0.9974683544303796,0.979746835443038,0.9721518987341772,0.969620253164557
0.4020408163265306,1.0,1.0,1.0,1.0
0.3047619047619047,0.9365079365079364,0.9873015873015872,1.0,0.9968253968253968
0.2914285714285715,0.9714285714285712,0.9657142857142856,0.96,0.9714285714285712
0.2930232558139535,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116
0.4119402985074626,1.0,0.9940298507462686,0.9970149253731344,1.0
0.3116279069767441,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116
0.6183908045977012,1.0,1.0,0.9977011494252874,0.9977011494252874
0.3508771929824561,0.7508771929824563,1.0,0.9964912280701756,0.9789473684210528
0.3974683544303797,1.0,0.9772151898734178,0.9924050632911392,0.9949367088607596
0.5724137931034482,1.0,0.9954022988505746,1.0,1.0
0.26,0.8800000000000001,0.865,0.8600000000000001,0.8699999999999999
0.4673469387755101,1.0,0.9979591836734696,1.0,1.0
0.2685714285714285,0.9714285714285712,0.9657142857142856,0.9657142857142856,0.9714285714285712
0.573134328358209,1.0,0.9850746268656716,0.9850746268656716,0.9970149253731344
0.4835443037974684,1.0,0.9569620253164558,0.9670886075949368,0.9848101265822786
0.6112676056338028,0.9971830985915492,1.0,1.0,0.991549295774648
0.2253521126760563,0.9887323943661972,1.0,1.0,1.0
0.8114285714285714,0.985714285714286,0.985714285714286,0.9828571428571432,0.985714285714286
0.0969696969696969,0.9787878787878788,0.9787878787878788,0.9787878787878788,0.9818181818181816
0.4771428571428571,0.9885714285714288,0.985714285714286,0.985714285714286,0.985714285714286
0.4049999999999999,0.8400000000000001,0.9000000000000001,0.8949999999999999,0.905
0.6454545454545455,1.0,0.9981818181818184,1.0,1.0
0.6000000000000001,0.9582089552238806,1.0,0.9880597014925372,1.0
0.6457142857142858,0.985714285714286,0.985714285714286,0.985714285714286,0.985714285714286
0.5487804878048781,0.9829268292682926,0.9853658536585364,0.9853658536585364,0.9878048780487804
0.1619047619047618,0.8920634920634921,0.9746031746031748,0.9904761904761904,0.9873015873015872
0.6119402985074627,1.0,0.9880597014925372,0.9940298507462686,1.0
0.2028169014084506,0.9943661971830986,1.0,0.9943661971830986,1.0
0.3122448979591836,1.0,1.0,1.0,1.0
