FeTrIL,DDGR,VAE - BBox,TaskVAE,DAR
0.0009708737864077,0.9708737864077672,0.971844660194175,0.966990291262136,0.9747572815533984
0.0825870646766169,0.9800995024875622,0.981094527363184,0.9830845771144278,0.981094527363184
0.4142857142857142,0.9892857142857144,0.9803571428571428,0.9839285714285716,0.975
0.0027272727272727,0.9809090909090912,0.9772727272727272,0.9845454545454548,0.9809090909090912
0.0192660550458715,0.9880733944954128,0.989908256880734,0.9926605504587156,0.9871559633027523
0.0,0.9882352941176472,0.9911764705882355,0.98921568627451,0.9892156862745098
0.0103626943005181,0.9709844559585492,0.9720207253886012,0.9772020725388602,0.9751295336787564
0.1009090909090909,0.9790909090909092,0.9772727272727272,0.9809090909090912,0.9809090909090912
0.0045871559633027,0.9889908256880736,0.9908256880733946,0.989908256880734,0.9889908256880734
0.030392156862745,0.9872549019607844,0.9901960784313728,0.9872549019607844,0.9901960784313726
0.0776119402985074,0.981094527363184,0.982089552238806,0.9840796019900498,0.983084577114428
0.4464285714285714,0.9875,0.9714285714285716,0.9910714285714286,0.9839285714285714
0.0082568807339449,0.9871559633027523,0.9954128440366974,0.9889908256880734,0.9871559633027523
0.5694915254237288,0.9881355932203392,0.9932203389830508,0.9864406779661016,0.9864406779661016
0.0316279069767441,0.9981395348837212,0.9981395348837212,1.0,0.9981395348837212
0.1009345794392523,0.9981308411214954,1.0,0.9981308411214954,0.9981308411214954
0.1145454545454545,0.9963636363636365,0.9945454545454544,0.9927272727272728,1.0
0.1264150943396226,0.9858490566037736,0.9858490566037736,0.9877358490566038,0.9839622641509436
0.0,0.9885964912280704,0.9894736842105264,0.987719298245614,0.9833333333333334
0.0,0.9840000000000002,0.9862857142857144,0.9874285714285717,0.9828571428571428
0.1899497487437186,0.9608040201005024,0.9738693467336684,0.9618090452261306,0.9798994974874372
0.0,0.9628140703517588,0.9678391959798996,0.9628140703517588,0.9809045226130652
0.0028301886792452,0.9820754716981132,0.9839622641509436,0.9867924528301886,0.991509433962264
0.0,0.9885964912280704,0.9912280701754388,0.9964912280701752,0.9850877192982456
0.1043859649122807,0.9894736842105264,0.9912280701754388,0.986842105263158,0.987719298245614
0.0,0.9840000000000002,0.9782857142857144,0.9782857142857144,0.9862857142857144
0.0,0.9885964912280704,0.9903508771929824,0.9894736842105264,0.993859649122807
0.2227722772277228,0.994059405940594,0.994059405940594,0.9950495049504952,0.9970297029702968
0.0073298429319371,0.9926701570680628,0.9958115183246072,0.9968586387434556,0.9968586387434556
0.00078125,0.94921875,0.95703125,0.96796875,0.98125
