FeTrIL,DDGR,VAE - BBox,TaskVAE,DAR
0.4222222222222221,0.2412698412698412,0.6603174603174603,0.5619047619047619,0.8158730158730159
0.4349206349206348,0.3523809523809523,0.5873015873015872,0.673015873015873,0.6412698412698413
0.3690140845070422,0.4169014084507042,0.8,0.7605633802816902,0.7549295774647887
0.5083333333333333,0.1972222222222222,0.5527777777777778,0.55,0.7472222222222223
0.4944444444444444,0.2638888888888888,0.5277777777777779,0.5750000000000001,0.6361111111111112
0.45,0.128125,0.575,0.615625,0.690625
0.4833333333333333,0.1805555555555555,0.6388888888888891,0.5166666666666666,0.6305555555555555
0.5936507936507937,0.3206349206349205,0.4634920634920635,0.5174603174603174,0.819047619047619
0.61875,0.45,0.659375,0.6375,0.771875
0.4539682539682539,0.2317460317460316,0.4095238095238095,0.5333333333333333,0.6476190476190476
0.4083333333333334,0.175,0.6972222222222223,0.7027777777777777,0.6944444444444444
0.3583333333333333,0.3722222222222222,0.7388888888888889,0.675,0.5666666666666667
0.428125,0.3,0.590625,0.534375,0.83125
0.3666666666666667,0.1833333333333333,0.6972222222222222,0.7194444444444444,0.8027777777777778
0.475,0.21875,0.459375,0.653125,0.6375
0.476056338028169,0.3267605633802817,0.676056338028169,0.6788732394366197,0.7126760563380281
0.35,0.4055555555555555,0.4944444444444444,0.5888888888888889,0.763888888888889
0.45,0.3277777777777778,0.6555555555555556,0.5861111111111111,0.7361111111111112
0.4777777777777777,0.1999999999999999,0.4916666666666667,0.4638888888888888,0.5750000000000002
0.4126984126984127,0.2603174603174603,0.3301587301587301,0.4349206349206348,0.7619047619047619
0.440625,0.29375,0.678125,0.684375,0.80625
0.4333333333333333,0.1805555555555555,0.7555555555555555,0.6861111111111112,0.788888888888889
0.3238095238095237,0.3428571428571428,0.4888888888888888,0.584126984126984,0.5873015873015873
0.51875,0.225,0.34375,0.346875,0.465625
0.5833333333333333,0.1666666666666666,0.5833333333333333,0.5305555555555556,0.6944444444444444
0.3809523809523809,0.1365079365079364,0.5142857142857142,0.6444444444444445,0.8
0.4031746031746032,0.3238095238095237,0.4952380952380952,0.4571428571428571,0.6444444444444445
0.528125,0.221875,0.6375,0.58125,0.76875
0.4027777777777778,0.4138888888888888,0.7250000000000001,0.6888888888888889,0.8333333333333334
0.419047619047619,0.2253968253968253,0.419047619047619,0.438095238095238,0.5873015873015873
