Exemplar_Size,Task 2,Task 3,Task 4,Method
All Exemplars,1.0,1.0,0.9992831541218639,VAE_Filter
All Exemplars,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.9992831541218639,0.999375,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,0.9991266375545852,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,0.9985663082437275,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,0.9991266375545852,VAE_GMM
All Exemplars,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,0.9983673469387755,1.0,VAE_GMM
All Exemplars,1.0,1.0,0.9992831541218639,VAE_GMM
All Exemplars,0.9985663082437275,1.0,1.0,VAE_GMM
All Exemplars,0.9985663082437275,1.0,1.0,VAE_GMM
All Exemplars,0.9985663082437277,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,0.9985663082437275,VAE_GMM
All Exemplars,1.0,1.0,0.999375,VAE_GMM
All Exemplars,1.0,0.9991266375545852,0.9992831541218639,VAE_GMM
All Exemplars,1.0,1.0,0.9982532751091704,VAE_GMM
All Exemplars,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,0.999375,VAE_GMM
All Exemplars,0.9991266375545852,1.0,0.9994134897360704,VAE_GMM
All Exemplars,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,0.9991836734693879,VAE_GMM
All Exemplars,0.9991266375545852,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9978494623655912,0.99875,1.0,VAE_GMM
All Exemplars,0.9991836734693879,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,0.9971326164874551,VAE_GMM
All Exemplars,1.0,0.9994134897360704,1.0,VAE_GMM
All Exemplars,1.0,0.9992831541218639,1.0,VAE_GMM
