Exemplar_Size,Task 2,Task 3,Task 4,Task 5,Task 6,Method
All Exemplars,1.0,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,0.9913043478260869,1.0,0.9961538461538462,0.9837837837837837,0.9942857142857143,VAE_BBox
All Exemplars,1.0,1.0,0.9826086956521738,1.0,1.0,VAE_BBox
All Exemplars,0.9837837837837837,0.9961538461538462,1.0,1.0,0.9894736842105264,VAE_BBox
All Exemplars,0.9947368421052631,1.0,1.0,1.0,0.9961538461538462,VAE_BBox
All Exemplars,0.9891891891891891,0.9961538461538462,0.9947368421052631,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,0.9947368421052631,0.9894736842105264,0.992,VAE_BBox
All Exemplars,0.9894736842105264,1.0,0.9891891891891891,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,0.992,VAE_BBox
All Exemplars,0.99,0.9837837837837838,0.9947368421052631,0.9947368421052631,1.0,VAE_BBox
All Exemplars,1.0,0.9891891891891891,0.9842105263157894,0.9947368421052631,0.9947368421052631,VAE_BBox
All Exemplars,1.0,1.0,0.9891891891891891,1.0,1.0,VAE_BBox
All Exemplars,0.9949999999999999,1.0,0.9891891891891891,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,0.9947368421052631,VAE_BBox
All Exemplars,1.0,1.0,1.0,1.0,1.0,VAE_BBox
All Exemplars,1.0,1.0,0.9945945945945945,0.9947368421052631,1.0,VAE_BBox
All Exemplars,0.9837837837837838,1.0,1.0,0.9947368421052631,1.0,VAE_BBox
All Exemplars,1.0,0.9961538461538462,1.0,1.0,0.9947368421052631,VAE_BBox
All Exemplars,1.0,1.0,0.9960000000000001,0.9891891891891891,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,0.9837837837837837,1.0,0.9894736842105264,VAE_Filter
All Exemplars,1.0,0.9945945945945945,1.0,1.0,0.9913043478260869,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.9894736842105264,1.0,0.9947368421052631,1.0,0.9923076923076923,VAE_Filter
All Exemplars,1.0,0.9913043478260869,1.0,0.9949999999999999,1.0,VAE_Filter
All Exemplars,0.9894736842105264,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,0.9945945945945945,1.0,0.9842105263157895,VAE_Filter
All Exemplars,1.0,0.9837837837837838,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,0.9837837837837838,1.0,VAE_Filter
All Exemplars,1.0,1.0,0.9942857142857143,1.0,1.0,VAE_Filter
All Exemplars,1.0,0.9947368421052631,1.0,0.9945945945945945,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,0.9949999999999999,0.9947368421052631,VAE_Filter
All Exemplars,0.9891891891891891,0.9961538461538462,0.9947368421052631,1.0,0.9947368421052631,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.972972972972973,0.9807692307692308,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,0.9947368421052631,0.9947368421052631,1.0,VAE_Filter
All Exemplars,0.9947368421052631,1.0,0.9837837837837838,1.0,1.0,VAE_Filter
All Exemplars,0.9942857142857143,1.0,0.9961538461538462,0.9947368421052631,1.0,VAE_Filter
All Exemplars,1.0,0.9891891891891891,0.9947368421052631,0.9842105263157895,1.0,VAE_Filter
All Exemplars,0.9913043478260869,0.9837837837837838,0.9789473684210528,1.0,0.9947368421052631,VAE_Filter
All Exemplars,1.0,1.0,0.9945945945945945,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,0.9945945945945945,1.0,0.9942857142857143,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,0.9894736842105264,VAE_Filter
All Exemplars,1.0,1.0,0.9837837837837838,1.0,1.0,VAE_Filter
All Exemplars,1.0,0.9913043478260869,0.9945945945945945,0.9947368421052631,1.0,VAE_Filter
All Exemplars,0.972972972972973,0.9947368421052631,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,0.9947368421052631,VAE_Filter
All Exemplars,1.0,1.0,1.0,0.9891891891891891,0.9736842105263159,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,0.9947368421052631,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,0.9842105263157895,VAE_GMM
All Exemplars,1.0,0.9913043478260869,0.9945945945945945,1.0,0.9842105263157895,VAE_GMM
All Exemplars,1.0,0.9891891891891891,1.0,0.9947368421052631,0.9739130434782609,VAE_GMM
All Exemplars,1.0,0.9891891891891891,0.9894736842105264,1.0,0.992,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,0.9961538461538462,VAE_GMM
All Exemplars,0.9961538461538462,1.0,0.992,1.0,0.9894736842105264,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,0.9891891891891891,1.0,1.0,VAE_GMM
All Exemplars,1.0,0.9837837837837838,0.9913043478260869,1.0,1.0,VAE_GMM
All Exemplars,0.9947368421052631,1.0,0.992,0.9783783783783784,0.9961538461538462,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,0.9961538461538462,0.9891891891891891,0.9942857142857143,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,0.9842105263157895,VAE_GMM
All Exemplars,0.9891891891891891,0.9923076923076923,1.0,0.9789473684210528,0.9894736842105264,VAE_GMM
All Exemplars,1.0,1.0,1.0,0.9947368421052631,0.9961538461538462,VAE_GMM
All Exemplars,0.9891891891891891,0.9961538461538462,0.9947368421052631,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,0.9894736842105264,0.9842105263157895,1.0,VAE_GMM
All Exemplars,1.0,1.0,0.9837837837837838,1.0,0.9947368421052631,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.99,0.9891891891891891,1.0,0.968421052631579,1.0,VAE_GMM
All Exemplars,0.9913043478260869,0.9945945945945945,0.9947368421052631,1.0,0.9947368421052631,VAE_GMM
All Exemplars,1.0,1.0,0.9783783783783784,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,0.9891891891891891,0.9960000000000001,0.9942857142857143,VAE_GMM
All Exemplars,1.0,0.9961538461538462,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9960000000000001,1.0,0.9945945945945945,1.0,0.9894736842105264,VAE_GMM
All Exemplars,1.0,1.0,1.0,0.9736842105263157,0.992,VAE_GMM
All Exemplars,0.9945945945945945,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,1.0,VAE_GMM
