Exemplar_Size,Task 2,Task 3,Task 4,Task 5,Method
All Exemplars,1.0,0.9985663082437275,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,0.9992831541218639,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,0.9985663082437275,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.99875,1.0,0.9991266375545852,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.9992831541218639,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,0.9992831541218639,1.0,VAE_Filter
All Exemplars,0.9985663082437275,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,0.9992831541218639,1.0,0.9991266375545852,1.0,VAE_Filter
All Exemplars,0.9985663082437275,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,0.9992831541218639,0.999375,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,1.0,1.0,VAE_Filter
All Exemplars,1.0,1.0,0.9992831541218639,1.0,VAE_Filter
All Exemplars,1.0,0.9992831541218639,0.9991266375545852,1.0,VAE_GMM
All Exemplars,1.0,0.9991266375545852,0.9992831541218639,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,0.9992831541218639,VAE_GMM
All Exemplars,1.0,0.9985663082437275,1.0,0.999375,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9994134897360704,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.999375,0.9992831541218639,0.9991266375545852,1.0,VAE_GMM
All Exemplars,0.9991266375545852,1.0,1.0,0.9991836734693879,VAE_GMM
All Exemplars,1.0,1.0,1.0,0.9991836734693876,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,0.9994134897360704,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,0.9985663082437275,VAE_GMM
All Exemplars,1.0,1.0,1.0,0.9991266375545852,VAE_GMM
All Exemplars,0.9992831541218639,1.0,1.0,0.9991836734693876,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,0.9985663082437275,0.999375,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,0.9991266375545852,0.9994134897360704,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,0.9992831541218639,VAE_GMM
All Exemplars,1.0,1.0,0.9985663082437277,0.999375,VAE_GMM
All Exemplars,1.0,0.9992831541218639,0.999375,1.0,VAE_GMM
All Exemplars,0.999375,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,1.0,1.0,0.9992831541218639,VAE_GMM
All Exemplars,1.0,1.0,1.0,1.0,VAE_GMM
All Exemplars,1.0,0.9991266375545852,0.9992831541218639,1.0,VAE_GMM
