method,exemplar_size,each_exemplar_time,whole_exemplar_time,each_task_time,whole_task_time,total_time
DDGR,100,395.3252992044288,1185.9758976132866,442.65032022993364,1327.9509606898011,2513.926858303088
FeTrIL,100,6.1366210493306035,18.40986314799181,2.0570659049408584,6.171197714822574,24.581060862814383
VAE_BBox,100,60.6776866671785,182.03306000153557,58.19641868604471,174.58925605813414,356.62231605966974
VAE_Filter,100,58.23950643627687,174.7185193088307,56.05600100963121,168.16800302889365,342.8865223377244
VAE_GMM,100,76.60687236123572,229.8206170837072,72.03819387551646,216.11458162654935,445.93519871025654
DDGR,394,395.3252992044288,1185.9758976132866,442.65032022993364,1327.9509606898011,2513.926858303088
FeTrIL,394,6.1366210493306035,18.40986314799181,2.0570659049408584,6.171197714822574,24.581060862814383
VAE_BBox,394,60.6776866671785,182.03306000153557,58.19641868604471,174.58925605813414,356.62231605966974
VAE_Filter,394,58.23950643627687,174.7185193088307,56.05600100963121,168.16800302889365,342.8865223377244
VAE_GMM,394,76.60687236123572,229.8206170837072,72.03819387551646,216.11458162654935,445.93519871025654
DDGR,1550,395.3252992044288,1185.9758976132866,442.65032022993364,1327.9509606898011,2513.926858303088
FeTrIL,1550,6.1366210493306035,18.40986314799181,2.0570659049408584,6.171197714822574,24.581060862814383
VAE_BBox,1550,60.6776866671785,182.03306000153557,58.19641868604471,174.58925605813414,356.62231605966974
VAE_Filter,1550,58.23950643627687,174.7185193088307,56.05600100963121,168.16800302889365,342.8865223377244
VAE_GMM,1550,76.60687236123572,229.8206170837072,72.03819387551646,216.11458162654935,445.93519871025654
DDGR,6100,395.3252992044288,1185.9758976132866,442.65032022993364,1327.9509606898011,2513.926858303088
FeTrIL,6100,6.1366210493306035,18.40986314799181,2.0570659049408584,6.171197714822574,24.581060862814383
VAE_BBox,6100,60.6776866671785,182.03306000153557,58.19641868604471,174.58925605813414,356.62231605966974
VAE_Filter,6100,58.23950643627687,174.7185193088307,56.05600100963121,168.16800302889365,342.8865223377244
VAE_GMM,6100,76.60687236123572,229.8206170837072,72.03819387551646,216.11458162654935,445.93519871025654
DDGR,135,395.3252992044288,1185.9758976132866,442.65032022993364,1327.9509606898011,2513.926858303088
FeTrIL,135,6.1366210493306035,18.40986314799181,2.0570659049408584,6.171197714822574,24.581060862814383
VAE_BBox,135,60.6776866671785,182.03306000153557,58.19641868604471,174.58925605813414,356.62231605966974
VAE_Filter,135,58.23950643627687,174.7185193088307,56.05600100963121,168.16800302889365,342.8865223377244
VAE_GMM,135,76.60687236123572,229.8206170837072,72.03819387551646,216.11458162654935,445.93519871025654
