FeTrIL,DDGR,VAE - Filter,VAE - GMM
0.1599999999999999,1.0,1.0,1.0
0.1285714285714285,1.0,1.0,1.0
0.1466666666666665,1.0,1.0,1.0
0.109090909090909,1.0,1.0,1.0
0.1090909090909091,1.0,1.0,1.0
0.1846153846153845,1.0,1.0,1.0
0.1272727272727272,1.0,1.0,1.0
0.1866666666666666,1.0,1.0,1.0
0.2307692307692307,1.0,1.0,1.0
0.1866666666666666,1.0,1.0,1.0
0.2461538461538461,1.0,1.0,1.0
0.0923076923076923,1.0,1.0,1.0
0.2461538461538461,1.0,1.0,1.0
0.2545454545454545,1.0,1.0,1.0
0.2769230769230769,1.0,1.0,1.0
0.1333333333333333,1.0,1.0,1.0
0.1846153846153846,1.0,1.0,1.0
0.323076923076923,1.0,1.0,1.0
0.1454545454545454,1.0,1.0,1.0
0.2142857142857142,1.0,1.0,0.9857142857142858
0.1999999999999999,1.0,1.0,1.0
0.123076923076923,1.0,1.0,1.0
0.1999999999999999,1.0,1.0,0.9857142857142858
0.1846153846153845,0.8,1.0,1.0
0.0909090909090909,1.0,1.0,1.0
0.0933333333333333,1.0,0.9866666666666668,1.0
0.157142857142857,1.0,1.0,1.0
0.123076923076923,1.0,1.0,1.0
0.1076923076923076,1.0,1.0,1.0
0.1999999999999999,1.0,1.0,1.0
