Exemplar_Size,Method,Task 2,Task 3,Task 4,Task 5
All Exemplars,FeTrIL,0.8371243004376646,0.45923313664768056,0.1577538469913532,0.01581198627697642
All Exemplars,DDGR,0.34798222681489044,0.2065336012989886,0.15473608447621137,0.14939740996751452
All Exemplars,VAE_Adapt,0.6590967770769828,0.45312583514509086,0.29328663388402193,0.23374948922722152
All Exemplars,VAE_BBox,0.7260048825861198,0.44982957257705425,0.3142623466414418,0.2462865131793925
All Exemplars,VAE_Filter,0.7315211970217818,0.4485014370030241,0.3157047647046031,0.24935688431295394
All Exemplars,VAE_GMM,0.8135305698257526,0.6498212317848447,0.5395568897444468,0.41584720434623873
