FeTrIL,DDGR,VAE_Adapt,VAE - Filter,VAE - GMM
1.0,1.0,1.0,1.0,1.0
1.0,0.9777777777777776,0.987878787878788,0.98989898989899,0.991919191919192
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,0.9942857142857144,0.9961904761904762,1.0,0.9923809523809524
1.0,1.0,0.998095238095238,0.998095238095238,0.9923809523809524
1.0,1.0,1.0,1.0,0.9983471074380166
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.2,0.9846153846153848,0.953846153846154,0.9384615384615388,1.0
0.6,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.9958762886597938,1.0
0.8,1.0,0.9961904761904762,0.998095238095238,0.998095238095238
1.0,0.9983471074380166,1.0,1.0,1.0
1.0,0.98989898989899,0.995959595959596,0.9959595959595958,0.997979797979798
1.0,0.998095238095238,0.9961904761904762,0.9942857142857144,1.0
1.0,0.9987654320987656,1.0,1.0,0.9975308641975308
1.0,1.0,0.9981308411214954,1.0,0.9981308411214954
1.0,1.0,1.0,1.0,1.0
1.0,0.9923809523809524,0.998095238095238,0.9961904761904762,0.998095238095238
1.0,0.987878787878788,0.983838383838384,1.0,1.0
1.0,0.9904761904761904,0.9942857142857144,0.998095238095238,1.0
1.0,0.9904761904761904,1.0,0.998095238095238,1.0
1.0,1.0,1.0,1.0,1.0
0.2,0.9692307692307692,1.0,0.9846153846153848,0.9538461538461538
1.0,0.991919191919192,0.977777777777778,0.9858585858585858,0.987878787878788
