FeTrIL,DDGR,VAE - Filter,VAE - GMM
0.9972560975609756,0.9957317073170732,0.9945121951219512,0.9975609756097562
0.9983050847457628,0.9918644067796608,0.9942372881355932,0.993898305084746
0.9996296296296296,1.0,1.0,0.9992592592592594
1.0,1.0,1.0,1.0
0.9996699669966996,0.9983498349834984,0.9990099009900992,0.9973597359735974
0.9990853658536588,0.9963414634146344,0.9945121951219512,0.9948170731707318
1.0,0.9980198019801982,0.9986798679867988,0.9986798679867988
1.0,1.0,1.0,1.0
0.9968858131487888,0.9899653979238752,0.9858131487889276,0.9837370242214531
1.0,1.0,0.9996732026143792,0.9996732026143792
0.9990853658536588,0.9969512195121952,0.9969512195121952,0.9960365853658536
0.9938356164383562,0.9914383561643836,0.9886986301369862,0.9876712328767124
1.0,0.9973484848484848,0.9984848484848484,0.9973484848484848
1.0,1.0,1.0,1.0
1.0,0.9996732026143792,0.9993464052287582,0.9996732026143792
1.0,1.0,1.0,1.0
0.9968858131487888,0.9844290657439448,0.9885813148788928,0.991349480968858
1.0,1.0,1.0,1.0
1.0,0.998019801980198,0.9983498349834984,0.9986798679867988
1.0,0.9992592592592594,0.9996296296296296,0.9992592592592594
1.0,0.9992592592592592,0.9992592592592592,0.9985185185185184
0.9990853658536588,0.9969512195121952,0.9966463414634148,0.9975609756097562
0.9966101694915256,0.992542372881356,0.9928813559322034,0.9908474576271188
1.0,0.9983498349834984,0.9983498349834984,0.9990099009900992
1.0,0.9990099009900992,1.0,0.9990099009900992
0.9986666666666666,0.994,0.9923333333333334,0.997
1.0,1.0,1.0,1.0
0.9972881355932206,0.9911864406779662,0.992542372881356,0.993898305084746
1.0,1.0,1.0,1.0
0.9969178082191782,0.9859589041095892,0.988013698630137,0.9897260273972605
