FeTrIL,DDGR,VAE_Adapt,VAE - Filter,VAE - GMM
0.1469522240527182,0.4767710049423394,0.3901153212520593,0.2952224052718286,0.543986820428336
0.1561461794019933,0.4803986710963455,0.4681063122923588,0.4983388704318937,0.7132890365448505
0.4797979797979798,0.4478114478114477,0.3747474747474747,0.3198653198653198,0.4643097643097643
0.1387523629489602,0.4427221172022683,0.4143667296786389,0.5330812854442344,0.5973534971644613
0.1600753295668549,0.4595103578154426,0.6677966101694915,0.5826741996233522,0.7344632768361581
0.1666666666666666,0.5232323232323233,0.4218855218855218,0.5430976430976431,0.6656565656565656
0.0920388349514562,0.5277669902912622,0.4376699029126213,0.4132038834951456,0.7052427184466019
0.1681620839363241,0.5342981186685961,0.372793053545586,0.4428364688856729,0.6179450072358901
0.164297520661157,0.5335537190082643,0.508099173553719,0.4013223140495867,0.655206611570248
0.1853088480801334,0.5415692821368948,0.4564273789649416,0.5078464106844741,0.687145242070117
0.1620689655172413,0.4362068965517241,0.4975862068965517,0.5089655172413793,0.5510344827586208
0.4831578947368421,0.515438596491228,0.572280701754386,0.4628070175438596,0.7463157894736842
0.141399416909621,0.3871720116618075,0.5276967930029155,0.4664723032069971,0.6405247813411079
0.5051039697542533,0.4109640831758033,0.4155009451795841,0.6347826086956522,0.6351606805293006
0.1587837837837837,0.5763513513513513,0.5010135135135135,0.4128378378378378,0.7756756756756756
0.6060606060606061,0.3848484848484849,0.5636363636363636,0.4087542087542087,0.7710437710437711
0.5520979020979021,0.3818181818181818,0.384965034965035,0.403146853146853,0.522027972027972
0.1581325301204819,0.4822289156626506,0.4596385542168674,0.5027108433734939,0.6385542168674698
0.1992551210428305,0.4938547486033519,0.5426443202979516,0.4506517690875232,0.8648044692737429
0.2127516778523489,0.35,0.3906040268456376,0.6211409395973153,0.5728187919463087
0.1750465549348231,0.4223463687150837,0.4052141527001861,0.5128491620111733,0.6007448789571694
0.1649122807017544,0.4280701754385964,0.3919298245614034,0.5098245614035088,0.5564912280701755
0.1736408566721581,0.5779242174629324,0.4418451400329489,0.4375617792421746,0.628006589785832
0.1801346801346801,0.5326599326599326,0.4481481481481481,0.5350168350168351,0.7882154882154883
0.1642458100558658,0.4752327746741154,0.5162011173184358,0.4908752327746741,0.8342644320297952
0.163939899833055,0.5165275459098497,0.5582637729549249,0.6934891485809683,0.8924874791318865
0.1795302013422818,0.5161073825503355,0.5969798657718121,0.4919463087248322,0.7597315436241611
0.1118243243243242,0.5449324324324325,0.55,0.5743243243243243,0.7043918918918919
0.1518072289156626,0.4415662650602409,0.5490963855421687,0.4210843373493976,0.5647590361445783
0.1561461794019933,0.5162790697674418,0.4401993355481727,0.4601328903654485,0.7495016611295681
