Exemplar_Size,Method,Task 2,Task 3,Task 4
All Exemplars,FeTrIL,0.1331787923372621,0.7514788292128446,0.9533333333333334
All Exemplars,DDGR,0.992554176981142,0.995546505119395,0.9960524296675192
All Exemplars,VAE_Adapt,0.9939143279637038,0.9965484069293545,0.9969978213507625
All Exemplars,VAE_BBox,0.993342041564284,0.9965223651947462,0.9976459262401091
All Exemplars,VAE_Filter,0.994058973444045,0.9949973120074156,0.997415274871477
All Exemplars,VAE_GMM,0.9946279492878747,0.9977745657771233,0.9988039215686275
