Exemplar_Size,Method,Task 1,Task 2,Task 3
All Exemplars,FeTrIL,0.9983788674734649,0.2200654964300959,0.1688085676037483
All Exemplars,DDGR,0.9944623540803668,0.6166550882998664,0.433796136928667
All Exemplars,VAE_Adapt,0.9942042035263553,0.8221053315127325,0.5668770319372729
All Exemplars,VAE_BBox,0.9941773621119089,0.7869853632464958,0.487596098680436
All Exemplars,VAE_Filter,0.9942217640464038,0.782235679825634,0.4894014151845477
All Exemplars,VAE_GMM,0.9943347633067828,0.8871036707094507,0.6406004972270033
