Exemplar_Size,Method,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6
All Exemplars,FeTrIL,0.8903591567556944,0.6722709095114482,0.5185909685503542,0.20672862521025745,0.12239997336983972,0.11675438596491221
All Exemplars,DDGR,0.8836247243061205,0.489566708164445,0.37800525735763224,0.32175495093124024,0.28911307239218526,0.2568245614035087
All Exemplars,VAE_BBox,0.8793174927562709,0.666689744600376,0.47308127521340637,0.3556396942482889,0.2894784950088096,0.25421052631578944
All Exemplars,VAE_Filter,0.8814989580192129,0.6628992497413951,0.4883845344363234,0.3598416349834144,0.2978825757571742,0.26301754385964904
All Exemplars,VAE_GMM,0.880961107643089,0.8012108560884866,0.6414902053371712,0.5266669532916298,0.4491552652240432,0.3759824561403508
