FeTrIL,DDGR,VAE - Filter,VAE - GMM
0.2769230769230769,1.0,1.0,1.0
0.36,1.0,1.0,1.0
0.2923076923076922,1.0,1.0,1.0
0.3866666666666666,1.0,0.9466666666666668,0.9333333333333332
0.2615384615384615,1.0,1.0,1.0
0.3199999999999999,1.0,1.0,0.9866666666666668
0.1333333333333333,1.0,1.0,1.0
0.4133333333333334,1.0,1.0,1.0
0.4428571428571428,1.0,1.0,1.0
0.2545454545454545,1.0,1.0,1.0
0.2399999999999999,1.0,1.0,1.0
0.4999999999999999,1.0,0.9857142857142858,0.9571428571428572
0.2923076923076922,1.0,1.0,1.0
0.3466666666666667,1.0,0.9866666666666668,1.0
0.2181818181818181,1.0,1.0,1.0
0.2857142857142857,1.0,1.0,1.0
0.2769230769230769,1.0,1.0,1.0
0.4,1.0,1.0,0.9733333333333332
0.4461538461538462,1.0,1.0,1.0
0.2769230769230769,1.0,1.0,1.0
0.52,1.0,1.0,1.0
0.2153846153846153,1.0,1.0,1.0
0.323076923076923,1.0,1.0,1.0
0.2727272727272727,1.0,1.0,1.0
0.1538461538461538,1.0,1.0,1.0
0.3846153846153846,1.0,1.0,1.0
0.2545454545454545,1.0,1.0,1.0
0.2571428571428571,1.0,1.0,1.0
0.1272727272727272,1.0,1.0,1.0
0.4615384615384615,1.0,1.0,1.0
